"Checked"	"Protein FDR Confidence"	"Master"	"Accession"	"Description"	"Exp. q-value"	"Sum PEP Score"	"Coverage"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT"	"# Peptides Sequest HT"
"False"	"High"	"IsMasterProtein"	"P16402"	"Histone H1.3 OS=Homo sapiens GN=HIST1H1D PE=1 SV=2"	"0.004"	"2.114"	"5.88235294117647"	"1"	"1"	"1"	"1"	"221"	"22.3"	"11.02"	"2.10"	"1"
"False"	"High"	"IsMasterProtein"	"P06314"	"Ig kappa chain V-IV region B17 OS=Homo sapiens PE=2 SV=1"	"0.004"	"2.097"	"11.1940298507463"	"1"	"1"	"1"	"1"	"134"	"15.0"	"6.58"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P68371"	"Tubulin beta-4B chain OS=Homo sapiens GN=TUBB4B PE=1 SV=1"	"0.004"	"2.068"	"2.69662921348315"	"1"	"1"	"1"	"1"	"445"	"49.8"	"4.89"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"Q86XJ1"	"GAS2-like protein 3 OS=Homo sapiens GN=GAS2L3 PE=1 SV=1"	"0.004"	"2.062"	"2.30547550432277"	"1"	"1"	"1"	"1"	"694"	"75.2"	"9.63"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P39019"	"40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2"	"0.004"	"2.049"	"6.20689655172414"	"1"	"1"	"1"	"1"	"145"	"16.1"	"10.32"	"1.86"	"1"
"False"	"High"	"IsMasterProtein"	"F5H5D3"	"Tubulin alpha-1C chain OS=Homo sapiens GN=TUBA1C PE=1 SV=1"	"0.004"	"2.042"	"1.54142581888247"	"1"	"1"	"1"	"1"	"519"	"57.7"	"5.07"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P19474"	"E3 ubiquitin-protein ligase TRIM21 OS=Homo sapiens GN=TRIM21 PE=1 SV=1"	"0.004"	"2.009"	"1.89473684210526"	"1"	"1"	"1"	"1"	"475"	"54.1"	"6.38"	"1.95"	"1"
"False"	"High"	"IsMasterProtein"	"Q96QD9"	"UAP56-interacting factor OS=Homo sapiens GN=FYTTD1 PE=1 SV=3"	"0.004"	"1.932"	"4.08805031446541"	"1"	"1"	"1"	"1"	"318"	"35.8"	"11.78"	"1.96"	"1"
"False"	"High"	"IsMasterProtein"	"Q8WYP5"	"Protein ELYS OS=Homo sapiens GN=AHCTF1 PE=1 SV=3"	"0.004"	"1.860"	"0.573698146513681"	"1"	"1"	"1"	"1"	"2266"	"252.3"	"6.60"	"1.78"	"1"
"False"	"High"	"IsMasterProtein"	"P49790"	"Nuclear pore complex protein Nup153 OS=Homo sapiens GN=NUP153 PE=1 SV=2"	"0.004"	"1.827"	"0.745762711864407"	"1"	"1"	"1"	"1"	"1475"	"153.8"	"8.73"	"1.83"	"1"
"False"	"High"	"IsMasterProtein"	"Q14241"	"Transcription elongation factor B polypeptide 3 OS=Homo sapiens GN=TCEB3 PE=1 SV=2"	"0.004"	"1.811"	"1.37844611528822"	"1"	"1"	"1"	"1"	"798"	"89.9"	"9.57"	"2.30"	"1"
"False"	"High"	"IsMasterProtein"	"Q8WWK9"	"Cytoskeleton-associated protein 2 OS=Homo sapiens GN=CKAP2 PE=1 SV=1"	"0.004"	"1.809"	"1.17130307467057"	"1"	"1"	"1"	"1"	"683"	"76.9"	"9.41"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P08670"	"Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4"	"0.004"	"1.790"	"3.00429184549356"	"1"	"1"	"1"	"1"	"466"	"53.6"	"5.12"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"M0R226"	"39S ribosomal protein L34, mitochondrial OS=Homo sapiens GN=MRPL34 PE=1 SV=1"	"0.004"	"1.784"	"5.43478260869565"	"1"	"1"	"1"	"1"	"184"	"19.8"	"12.12"	"1.64"	"1"
"False"	"High"	"IsMasterProtein"	"A8MT02"	"Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=1 SV=3"	"0.004"	"1.772"	"2.77777777777778"	"1"	"1"	"1"	"1"	"288"	"30.0"	"10.18"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"Q9P2B7"	"Cilia- and flagella-associated protein 97 OS=Homo sapiens GN=CFAP97 PE=1 SV=2"	"0.004"	"1.623"	"2.25563909774436"	"1"	"1"	"1"	"1"	"532"	"59.4"	"9.06"	"2.20"	"1"
"False"	"High"	"IsMasterProtein"	"E9PAU2"	"Ribonucleoprotein PTB-binding 1 OS=Homo sapiens GN=RAVER1 PE=1 SV=1"	"0.004"	"1.559"	"1.45502645502645"	"1"	"1"	"1"	"1"	"756"	"79.5"	"8.92"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"O00159"	"Unconventional myosin-Ic OS=Homo sapiens GN=MYO1C PE=1 SV=4"	"0.004"	"1.541"	"0.846660395108184"	"1"	"1"	"1"	"1"	"1063"	"121.6"	"9.41"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"O75179"	"Ankyrin repeat domain-containing protein 17 OS=Homo sapiens GN=ANKRD17 PE=1 SV=3"	"0.004"	"1.485"	"0.384172109104879"	"1"	"1"	"1"	"1"	"2603"	"274.1"	"6.52"	"1.88"	"1"
"False"	"High"	"IsMasterProtein"	"P32969"	"60S ribosomal protein L9 OS=Homo sapiens GN=RPL9 PE=1 SV=1"	"0.004"	"1.482"	"5.72916666666667"	"1"	"1"	"1"	"1"	"192"	"21.9"	"9.95"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"U3KQK0"	"Histone H2B OS=Homo sapiens GN=HIST1H2BN PE=1 SV=1"	"0.004"	"1.477"	"6.62650602409639"	"1"	"1"	"1"	"1"	"166"	"18.8"	"10.54"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P84090"	"Enhancer of rudimentary homolog OS=Homo sapiens GN=ERH PE=1 SV=1"	"0.004"	"1.426"	"7.69230769230769"	"1"	"1"	"1"	"1"	"104"	"12.3"	"5.92"	"2.04"	"1"
"False"	"High"	"IsMasterProtein"	"P81605"	"Dermcidin OS=Homo sapiens GN=DCD PE=1 SV=2"	"0.004"	"1.420"	"10"	"1"	"1"	"1"	"1"	"110"	"11.3"	"6.54"	"2.38"	"1"
"False"	"High"	"IsMasterProtein"	"Q9UKM9"	"RNA-binding protein Raly OS=Homo sapiens GN=RALY PE=1 SV=1"	"0.004"	"1.346"	"2.28758169934641"	"1"	"1"	"1"	"1"	"306"	"32.4"	"9.17"	"1.69"	"1"
"False"	"High"	"IsMasterProtein"	"K7ES00"	"Histone H3.3 (Fragment) OS=Homo sapiens GN=H3F3B PE=1 SV=1"	"0.004"	"1.330"	"7.28476821192053"	"1"	"1"	"1"	"1"	"151"	"16.6"	"11.84"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P60866"	"40S ribosomal protein S20 OS=Homo sapiens GN=RPS20 PE=1 SV=1"	"0.004"	"1.314"	"9.2436974789916"	"1"	"1"	"1"	"1"	"119"	"13.4"	"9.94"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P42766"	"60S ribosomal protein L35 OS=Homo sapiens GN=RPL35 PE=1 SV=2"	"0.004"	"1.308"	"8.13008130081301"	"1"	"1"	"1"	"1"	"123"	"14.5"	"11.05"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"Q5JTH9"	"RRP12-like protein OS=Homo sapiens GN=RRP12 PE=1 SV=2"	"0.004"	"1.308"	"0.693909020817271"	"1"	"1"	"1"	"1"	"1297"	"143.6"	"8.75"	"1.75"	"1"
"False"	"High"	"IsMasterProtein"	"Q96HA1"	"Nuclear envelope pore membrane protein POM 121 OS=Homo sapiens GN=POM121 PE=1 SV=2"	"0.004"	"1.300"	"0.880704563650921"	"1"	"1"	"1"	"1"	"1249"	"127.6"	"10.56"	"1.93"	"1"
"False"	"High"	"IsMasterProtein"	"P82912"	"28S ribosomal protein S11, mitochondrial OS=Homo sapiens GN=MRPS11 PE=1 SV=2"	"0.004"	"1.279"	"5.67010309278351"	"1"	"1"	"1"	"1"	"194"	"20.6"	"10.81"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P20742"	"Pregnancy zone protein OS=Homo sapiens GN=PZP PE=1 SV=4"	"0.004"	"1.277"	"0.539811066126856"	"1"	"1"	"1"	"1"	"1482"	"163.8"	"6.38"	"2.03"	"1"
"False"	"High"	"IsMasterProtein"	"B7Z4C8"	"60S ribosomal protein L31 OS=Homo sapiens GN=RPL31 PE=1 SV=1"	"0.004"	"1.276"	"6.15384615384615"	"1"	"1"	"1"	"1"	"130"	"15.1"	"10.37"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P02008"	"Hemoglobin subunit zeta OS=Homo sapiens GN=HBZ PE=1 SV=2"	"0.004"	"1.254"	"4.92957746478873"	"1"	"1"	"1"	"1"	"142"	"15.6"	"8.21"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"Q9NS40"	"Potassium voltage-gated channel subfamily H member 7 OS=Homo sapiens GN=KCNH7 PE=2 SV=2"	"0.004"	"1.238"	"2.25752508361204"	"1"	"1"	"1"	"1"	"1196"	"134.9"	"7.65"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P58005"	"Sestrin-3 OS=Homo sapiens GN=SESN3 PE=2 SV=2"	"0.009"	"1.206"	"2.84552845528455"	"1"	"1"	"1"	"1"	"492"	"57.3"	"6.25"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"B7ZKJ8"	"ITIH4 protein OS=Homo sapiens GN=ITIH4 PE=1 SV=1"	"0.009"	"1.140"	"0.962566844919786"	"1"	"1"	"1"	"1"	"935"	"103.8"	"6.89"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P02745"	"Complement C1q subcomponent subunit A OS=Homo sapiens GN=C1QA PE=1 SV=2"	"0.009"	"1.135"	"4.48979591836735"	"1"	"1"	"1"	"1"	"245"	"26.0"	"9.11"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P49327"	"Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3"	"0.009"	"1.133"	"0.4778972520908"	"1"	"1"	"1"	"1"	"2511"	"273.3"	"6.44"	"0.00"	"1"
"False"	"High"	"IsMasterProtein"	"P05141"	"ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7"	"0.009"	"1.117"	"3.35570469798658"	"1"	"1"	"1"	"1"	"298"	"32.8"	"9.69"	"0.00"	"1"
